origin_link,outgoing_link,origin_title,outgoing_title
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/2_%C3%97_2_real_matrices',b'Linear algebra',b'2 \xc3\x97 2 real matrices'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Origin_(mathematics)',b'Linear algebra',b'Origin (mathematics)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Bijective',b'Linear algebra',b'Bijective'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Isomorphic',b'Linear algebra',b'Isomorphic'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Determinant',b'Linear algebra',b'Determinant'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Range_(mathematics)',b'Linear algebra',b'Range (mathematics)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Kernel_(linear_operator)',b'Linear algebra',b'Kernel (linear operator)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Linear_transformation',b'Linear algebra',b'Linear transformation'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Map_(mathematics)',b'Linear algebra',b'Map (mathematics)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Abelian_group',b'Linear algebra',b'Abelian group'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Sequence',b'Linear algebra',b'Sequence'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Function_(mathematics)',b'Linear algebra',b'Function (mathematics)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Polynomial_ring',b'Linear algebra',b'Polynomial ring'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Matrix_(mathematics)',b'Linear algebra',b'Matrix (mathematics)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Field_(mathematics)',b'Linear algebra',b'Field (mathematics)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Real_number',b'Linear algebra',b'Real number'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Set_(mathematics)',b'Linear algebra',b'Set (mathematics)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Binary_operation',b'Linear algebra',b'Binary operation'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Element_(mathematics)',b'Linear algebra',b'Element (mathematics)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Vector_addition',b'Linear algebra',b'Vector addition'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Scalar_multiplication',b'Linear algebra',b'Scalar multiplication'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Axiom',b'Linear algebra',b'Axiom'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/School_Mathematics_Study_Group',b'Linear algebra',b'School Mathematics Study Group'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Secondary_school',b'Linear algebra',b'Secondary school'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Singular_value_decomposition',b'Linear algebra',b'Singular value decomposition'
